DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
10002,100132A,TARTIR-100132A,TARTIR,,1,2,2,0,0,1,,930318,941219,0,I,2,10:44.0,I
54081,54081 A,OFFICE MAX (AM),OFFMAM,,2,2,2,0,0,2,,930318,960223,0,I,3,10:44.0,I
54087,54087 A,OFFICE DEPOT (AM),OFDTAM,,2,2,2,0,0,2,,930318,930318,0,I,3,10:44.0,I
31085,310685A,MALBER USA (310685A),MALBER,,1,2,3,0,0,1,,930323,961007,0,A,2,10:44.0,I
31085,31085 A,MALBER USA (310685A),MALBER,,1,2,3,0,0,1,,930323,961007,0,A,2,10:44.0,I
30267,NULL,COAST TO COAST            304,30267,,1,2,2,3,0,1,,930323,960306,0,I,2,10:44.0,I
6276,6276  A,TNT FURNITURE,TNT,,1,2,2,0,0,2,,930323,950614,0,I,2,10:44.0,I
6276,6276  B,TNT FURNITURE,TNT,,1,2,2,0,0,2,,930323,950614,0,I,2,10:44.0,I
6276,6276  C,TNT FURNITURE,TNT,,1,2,2,0,0,2,,930323,950614,0,I,2,10:44.0,I
6276,6276  D,TNT FURNITURE,TNT,,1,2,2,0,0,2,,930323,950614,0,I,2,10:44.0,I
53077,53077 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930329,941219,0,I,1,10:44.0,I
6264,6264  A,COAST TO COAST          26018,6264,,1,2,2,0,0,1,,930329,960306,0,I,2,10:44.0,I
18,310697A,NORTHEASTERN CASH REGISTER CO,310697,,2,2,2,0,0,1,,930329,941219,0,I,2,10:44.0,I
19,290192A,NATIONWIDE - 290192,NATION,,1,2,2,0,0,1,,930329,941219,0,A,2,10:44.0,I
20,310568A,CENTRAL PARK COMPUTER & ELECTR,CENTRA,,1,2,2,1,0,1,,930331,941219,0,A,2,10:44.0,I
62121,NULL,CHINATOWNE FURNITURE,CHINAT,,1,2,2,0,0,2,,930401,950614,0,I,2,10:44.0,I
6213,6213  A,COMFORT SHOPPE,COMFOR,,1,2,2,0,0,2,,930401,990602,0,I,2,10:44.0,I
6213,6213  B,COMFORT SHOPPE,COMFOR,,1,2,2,0,0,2,,930401,990602,0,I,2,10:44.0,I
62131,62131 A,CHINATOWNE,CHINAT,,1,2,2,0,0,2,,930401,941219,0,I,2,10:44.0,I
4074,4074  A,STARSHIP ENTERPRISES,STARSH,,2,2,2,3,0,1,,930401,941219,0,I,2,10:44.0,I
62129,62129 A,WORONOFF'S,WORONO,,1,2,2,0,0,2,,930406,950614,0,I,2,10:44.0,I
6285,6285  A,PA'S WOODSHED,PA'S,,1,2,2,0,0,2,,930407,950614,0,I,2,10:44.0,I
62133,62133 A,HART TO HART FURNITURE INC,HARTTO,,1,2,2,0,0,2,,930407,950614,0,I,2,10:44.0,I
53059,53059 A,COAST GUARD EXCHANGE SYSTEM,USCOAS,,1,2,2,1,0,1,,930420,950407,0,I,1,10:44.0,I
